gbifid	abstract	accessrights	accrualmethod	accrualperiodicity	accrualpolicy	alternative	audience	available	bibliographiccitation	conformsto	contributor	coverage	created	creator	date_	dateaccepted	datecopyrighted	datesubmitted	description	educationlevel	extent	format_	hasformat	haspart	hasversion	identifier	instructionalmethod	isformatof	ispartof	isreferencedby	isreplacedby	isrequiredby	isversionof	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsholder	source	spatial	subject	tableofcontents	temporal	title	type	valid	acceptednameusage	acceptednameusageid	associatedmedia	associatedoccurrences	associatedreferences	associatedsequences	associatedtaxa	basisofrecord	bed	behavior	catalognumber	class	collectioncode	collectionid	continent	countrycode	county	datageneralizations	datasetid	datasetname	dateidentified	day	decimallatitude	decimallongitude	disposition	dynamicproperties	earliestageorloweststage	earliesteonorlowesteonothem	earliestepochorlowestseries	earliesteraorlowesterathem	earliestperiodorlowestsystem	enddayofyear	establishmentmeans	eventdate	eventid	eventremarks	eventtime	family	fieldnotes	fieldnumber	footprintsrs	footprintspatialfit	footprintwkt	formation	genus	genericname	geodeticdatum	geologicalcontextid	georeferenceddate	georeferenceprotocol	georeferenceremarks	georeferencesources	georeferenceverificationstatus	georeferencedby	group_	habitat	higherclassification	highergeography	highergeographyid	highestbiostratigraphiczone	identificationid	identificationqualifier	identificationreferences	identificationremarks	identificationverificationstatus	identifiedby	individualcount	individualid	informationwithheld	infraspecificepithet	institutioncode	institutionid	island	islandgroup	kingdom	latestageorhigheststage	latesteonorhighesteonothem	latestepochorhighestseries	latesteraorhighesterathem	latestperiodorhighestsystem	lifestage	lithostratigraphicterms	locality	locationaccordingto	locationid	locationremarks	lowestbiostratigraphiczone	materialsampleid	maximumdistanceabovesurfaceinmeters	member	minimumdistanceabovesurfaceinmeters	month	municipality	nameaccordingto	nameaccordingtoid	namepublishedin	namepublishedinid	namepublishedinyear	nomenclaturalcode	nomenclaturalstatus	occurrencedetails	occurrenceid	occurrenceremarks	occurrencestatus	order_	originalnameusage	originalnameusageid	othercatalognumbers	ownerinstitutioncode	parentnameusage	parentnameusageid	phylum	pointradiusspatialfit	preparations	previousidentifications	recordnumber	recordedby	reproductivecondition	samplingeffort	samplingprotocol	scientificname	scientificnameid	sex	specificepithet	startdayofyear	stateprovince	subgenus	taxonconceptid	taxonid	taxonrank	taxonremarks	taxonomicstatus	typestatus	typifiedname	verbatimcoordinatesystem	verbatimcoordinates	verbatimdepth	verbatimelevation	verbatimeventdate	verbatimlocality	verbatimsrs	verbatimtaxonrank	vernacularname	waterbody	year	datasetkey	publishingcountry	lastinterpreted	coordinateaccuracy	elevation	elevationaccuracy	depth	depthaccuracy	distanceabovesurface	distanceabovesurfaceaccuracy	issue	hascoordinate	hasgeospatialissues	taxonkey	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	subgenuskey	specieskey	species	protocol	lastparsed	lastcrawled
																																																															PRESERVED_SPECIMEN			IAvH-M-5881	Mammalia	IAvH-M		SOUTH_AMERICA	CO	Pereira																					Tapiridae							Tapirus	Tapirus																									8200001422-01				Animalia								Cuenca del Rio Otún, alrededor de la Suiza																						Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Risaralda				SPECIES																2a337d5a-a784-4f8a-a947-46d69e0fa3eb	CO	2014-04-02T13:00Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE		2013-09-07T09:19Z
																																																															PRESERVED_SPECIMEN			M-182073	Mammalia	Mammal		SOUTH_AMERICA	EC	Quito																					Tapiridae							Tapirus	Tapirus																									AMNH				Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Pichincha				SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
859521976																										urn:catalog:AMNH:Mammals:M-169931									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-169931	Mammalia	Mammals																				NATIVE					Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	ZOO;ZOO;;;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia																								ICZN					present	Perissodactyla							Chordata		Not Mounted							Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES										ZOO; ZOO; ; ; ; ; ; ; ; ;						96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:18Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:04Z	2013-12-13T21:00Z
859429679																										urn:catalog:AMNH:Mammals:M-149370									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-149370	Mammalia	Mammals		SOUTH_AMERICA	EC																	NATIVE					Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Ecuador;;;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia																								ICZN					present	Perissodactyla							Chordata		Not Mounted			I. White				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES										South America; Ecuador; ; ; ; ; ; ; ; ;						96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:09Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T18:50Z	2013-12-13T20:55Z
859534796																										urn:catalog:AMNH:Mammals:M-149332									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-149332	Mammalia	Mammals		SOUTH_AMERICA	CO	Purace					1										1	NATIVE	1950-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Colombia;Cauca;Purace;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia								Paletara									1							ICZN					present	Perissodactyla							Chordata		Skull, Cranium and Mandible, Not Mounted		VD 55 C	J. Wallis				Tapirus pinchaque (Roulin, 1829)			pinchaque	1	Cauca				SPECIES								3200 m	1950-01-01	South America; Colombia; Cauca; Purace; ; ; ; ; ; ; South America; Colombia; Cauca; Purace; ; ; ; ; ; ; Paletara					1950	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:19Z		3200.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:06Z	2013-12-13T21:01Z
																																																															PRESERVED_SPECIMEN			461075	Mammalia	Mammalia			EC																						Tapiridae							Tapirus	Tapirus																				Frechkop Serge (M.)					Royal Belgian Institute of natural Sciences				Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																8138eb72-f762-11e1-a439-00145eb45e9a	BE	2014-04-02T06:35Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE		2013-09-07T09:17Z
																																																															PRESERVED_SPECIMEN			M-149370	Mammalia	Mammal		SOUTH_AMERICA	EC																						Tapiridae							Tapirus	Tapirus																									AMNH				Animalia																														Perissodactyla							Chordata					I. White				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
780577598																										urn:occurrence:Arctos:MVZ:Mamm:124089:186790									en							http://arctos.database.museum/guid/MVZ:Mamm:124089												specimen									PRESERVED_SPECIMEN			124089	Mammalia	Mamm	urn:lsid:biocol.org:col:34904	SOUTH_AMERICA	CO					1999-01-27T00:00Z	16	2.25	-76.58333		sex: male						167		1957-06-16T00:00Z				Tapiridae							Tapirus	Tapirus	World Geodetic System 1984		1999-07-29 00:00:00.0	not recorded		U.S. Board on Geographic Names, Colombia, 1965	unverified	Luis F. García			Animalia Chordata Mammalia Perissodactyla Tapiridae  (Roulin, 1829)	South America, Colombia, Departamento Cauca				A			legacy	Museum of Vertebrate Zoology, University of California, Berkeley		http://arctos.database.museum/guid/MVZ:Mamm:124089			MVZ	urn:lsid:biocol.org:col:34777			Animalia								Sotara, W side C. Andes	Luis F. García								6							ICZN				JUVENILE.		Perissodactyla			collector number=9505				Chordata		skull		9505	Collector(s): Alden H. Miller, F. C. Lehmann				Tapirus pinchaque (Roulin, 1829)		MALE	pinchaque		Departamento Cauca				SPECIES					deg. min. sec.	2d 15m s N/76d 35m s W			16 Jun 1957	Sotara, West side C. Andes					1957	0daed095-478a-4af6-abf5-18acb790fbb2	US	2014-04-02T17:56Z		3200.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T13:48Z	2013-12-13T21:15Z
																																																															PRESERVED_SPECIMEN			M-149331	Mammalia	Mammal		SOUTH_AMERICA	CO	Purace																					Tapiridae							Tapirus	Tapirus																									AMNH				Animalia								Paletara																						Perissodactyla							Chordata					G. Valencia				Tapirus pinchaque (Roulin, 1829)			pinchaque		Cauca				SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		3200.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
780954367																										urn:occurrence:Arctos:MVZ:Mamm:124092:52235									en							http://arctos.database.museum/guid/MVZ:Mamm:124092												specimen									PRESERVED_SPECIMEN			124092	Mammalia	Mamm	urn:lsid:biocol.org:col:34904	SOUTH_AMERICA	CO					1999-01-27T00:00Z	10	2.26667	-76.01667		sex: unknown						344		1957-12-10T00:00Z				Tapiridae							Tapirus	Tapirus	World Geodetic System 1984		1999-07-29 00:00:00.0	not recorded		U.S. Board on Geographic Names, Colombia, 1965	unverified	Luis F. García			Animalia Chordata Mammalia Perissodactyla Tapiridae  (Roulin, 1829)	South America, Colombia, Departamento Huila				A			legacy	Museum of Vertebrate Zoology, University of California, Berkeley		http://arctos.database.museum/guid/MVZ:Mamm:124092			MVZ	urn:lsid:biocol.org:col:34777			Animalia								Rio San Jose, Moscopan	Luis F. García								12							ICZN				EMBRYO.		Perissodactyla			collector number=10088				Chordata		skin; skull; skeleton		10088	Collector(s): Alden H. Miller, F. C. Lehmann				Tapirus pinchaque (Roulin, 1829)			pinchaque		Departamento Huila				SPECIES					deg. min. sec.	2d 16m s N/76d 1m s W			10 Dec 1957	Rio San Jose, Moscopan					1957	0daed095-478a-4af6-abf5-18acb790fbb2	US	2014-04-02T18:18Z		2700.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T14:47Z	2013-12-13T21:15Z
730256192																										Corantioquia-4755-A4AD1061D6A64900BC5C2FBA07E55A23									es				2008-09-17T00:00Z																								UNKNOWN			4755-1811	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO	Yarumal			Fauna reportada en la jurisdicción de Corantioquia			6.97	-75.42														Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z		2200.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
																																																															PRESERVED_SPECIMEN			461074	Mammalia	Mammalia			EC																						Tapiridae							Tapirus	Tapirus																				Frechkop Serge (M.)					Royal Belgian Institute of natural Sciences				Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																8138eb72-f762-11e1-a439-00145eb45e9a	BE	2014-04-02T06:35Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE		2013-09-07T09:17Z
730252836																										Corantioquia-4755-2894EF74E002421A93B906D8B4A79E32									es				2008-09-17T00:00Z																								UNKNOWN			4755-1813	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO	Valdivia			Fauna reportada en la jurisdicción de Corantioquia																		Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
859342341																										urn:catalog:AMNH:Mammals:M-149333									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-149333	Mammalia	Mammals		SOUTH_AMERICA	CO	La Plata					1										1	NATIVE	1949-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Colombia;Huila;La Plata;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia								Tijeras									1							ICZN				Note in catalog: Foot only	present	Perissodactyla							Chordata				VD 56 C	J. Hernandez				Tapirus pinchaque (Roulin, 1829)			pinchaque	1	Huila				SPECIES									1949-01-01	South America; Colombia; Huila; La Plata; ; ; ; ; ; ; South America; Colombia; Huila; La Plata; ; ; ; ; ; ; Tijeras					1949	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:01Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T18:39Z	2013-12-13T20:50Z
884094587																										A12759.7422353																												PhysicalObject							Genbank:		PRESERVED_SPECIMEN			A12759.7422353	Mammalia	Mammals		SOUTH_AMERICA	EC																						Tapiridae							Tapirus	Tapirus											Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Perissodactyla, Tapiridae	South America, Ecuador										A12759			USNM				Animalia																														Perissodactyla							Chordata		Skull; Skeleton			Mereno, (Governor)				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES									-- -- 1872						1872	5df38344-b821-49c2-8174-cf0f29f4df0d	US	2014-04-02T22:07Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-30T01:59Z	2014-03-15T23:18Z
730253678																										Corantioquia-4755-47F10EB030EA4A65A893E15818F11E1C									es				2008-09-17T00:00Z																								UNKNOWN			4755-1809	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO	San Andrés de Cuerquía			Fauna reportada en la jurisdicción de Corantioquia			6.92	-75.68														Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z		1500.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
																																																															PRESERVED_SPECIMEN			YPM MAM 006703	Mammalia	MAM		SOUTH_AMERICA	CO																						Tapiridae							Tapirus	Tapirus																									YPM				Animalia																														Perissodactyla							Chordata					Smithsonian Institution, Washington				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																854f602e-f762-11e1-a439-00145eb45e9a	US	2014-04-02T05:37Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
730255833																										Corantioquia-4755-96552E45A08A476D82FE6372699EECEC									es				2008-09-17T00:00Z																								UNKNOWN			4755-1812	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO	Panzenú			Fauna reportada en la jurisdicción de Corantioquia																		Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
730257062																										Corantioquia-4755-C40950F7381744909FB38FD1415B1676									es				2008-09-17T00:00Z																								UNKNOWN			4755-1810	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO	San José de la Montaña			Fauna reportada en la jurisdicción de Corantioquia																		Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
																																																															PRESERVED_SPECIMEN			M-70521	Mammalia	Mammal		SOUTH_AMERICA	EC	Quijos																					Tapiridae							Tapirus	Tapirus																									AMNH				Animalia								Papallacta																						Perissodactyla							Chordata					Olalla y Hijos				Tapirus pinchaque (Roulin, 1829)			pinchaque		Napo				SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
730251860																										Corantioquia-4755-06F86C107232413E9AE165C9EC365C50									es				2008-09-17T00:00Z																								UNKNOWN			4755-1807	Mammalia	Corantioquia-M		SOUTH_AMERICA	CO				Fauna reportada en la jurisdicción de Corantioquia																		Tapiridae							Tapirus	Tapirus																									Corantioquia	8110002317-09			Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Antioquia				SPECIES																371b386a-d67b-4646-897e-a27cc1101067	CO	2014-04-02T15:36Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T12:28Z	2013-12-18T08:35Z
																																																															PRESERVED_SPECIMEN			M-149424	Mammalia	Mammal																									Tapiridae							Tapirus	Tapirus																									AMNH				Animalia								New York Zoological Society																						Perissodactyla							Chordata					N.Y.Z.S.				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
665915898		http://fieldmuseum.org/about/copyright-information																								2588078									English											http://fieldmuseum.org/about/copyright-information								PhysicalObject									PRESERVED_SPECIMEN			89207	Mammalia	Mammals	Mammals	SOUTH_AMERICA	CO			mammals-9-jul-2012	Mammals		13	1.83333	-76.58333										1958-01-13T00:00Z				Tapiridae							Tapirus	Tapirus				published							Animalia Chordata Mammalia Perissodactyla Tapiridae	South America, Colombia, Cauca: Valle de Las Papas													FMNH	FMNH			Animalia								Valle de Las Papas									1							ICZN						Perissodactyla				FMNH			Chordata		skin,skull		23480					Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque	13	Cauca				SPECIES															1958	41fc5c40-5e81-496f-9733-6b5681b3b7a5	US	2014-04-02T14:19Z		3000.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T11:05Z	2013-12-22T15:38Z
860787492																										5881																																					PRESERVED_SPECIMEN			IAvH-M-5881	Mammalia	IAvH-M		SOUTH_AMERICA	CO	Pereira																					Tapiridae							Tapirus	Tapirus																									IAvH	820000142-2			Animalia								Cuenca del Rio Otún, alrededor de la Suiza																						Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Risaralda				SPECIES																2a337d5a-a784-4f8a-a947-46d69e0fa3eb	CO	2014-04-02T20:15Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T22:07Z	2013-12-18T08:39Z
859545482																										urn:catalog:AMNH:Mammals:M-70521									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-70521	Mammalia	Mammals		SOUTH_AMERICA	EC	Quijos					10										100	NATIVE	1925-04-10T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Ecuador;Napo;Quijos;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia								Papallacta									4							ICZN					present	Perissodactyla							Chordata		Skull, Cranium and Mandible, Not Mounted			Olalla y Hijos				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque	100	Napo				SPECIES									1925-04-10	South America; Ecuador; Napo; Quijos; ; ; ; ; ; ; South America; Ecuador; Napo; Quijos; ; ; ; ; ; ; Papallacta					1925	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:20Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:07Z	2013-12-13T21:02Z
																																																															PRESERVED_SPECIMEN			M-149333	Mammalia	Mammal		SOUTH_AMERICA	CO	La Plata																					Tapiridae							Tapirus	Tapirus																									AMNH				Animalia								Tijeras																						Perissodactyla							Chordata					J. Hernandez				Tapirus pinchaque (Roulin, 1829)			pinchaque		Huila				SPECIES																96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T00:28Z		0.0	0.0	0.0	0.0						2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DIGIR_MANIS		2013-09-07T09:12Z
859504921																										urn:catalog:AMNH:Mammals:M-149424									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-149424	Mammalia	Mammals									9										344	NATIVE	1952-12-09T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	ZOO;ZOO;;;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia																	12							ICZN					present	Perissodactyla							Chordata		Not Mounted, Disarticulated			N.Y.Z.S.				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque	344					SPECIES									1952-12-09	ZOO; ZOO; ; ; ; ; ; ; ; ;					1952	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:16Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:01Z	2013-12-13T20:59Z
814170837																										urn:catalog:CUML:Sound/Film:83176									en				2013-07-11T00:00Z			http://macaulaylibrary.org/audio/83176												Sound				http://macaulaylibrary.org/audio/83176					MACHINE_OBSERVATION		call	83176	Mammalia	Sound/Film		SOUTH_AMERICA	EC						22	-0.433	-78.483								22	NATIVE	1993-01-22T00:00Z				Tapiridae							Tapirus	Tapirus	not recorded (forced WGS84)						requires verification					;Ecuador;Pichincha;;;;;													CUML	urn:lsid:biocol.org:col:34939			Animalia								Bosque Protectora Pasochoa									1							ICZN				NOTES: Recordist's written notes associated with original field tape:  Tapirus pinchaque, calls	present	Perissodactyla							Chordata					Theodore A., III Parker				Tapirus pinchaque (Roulin, 1829)			pinchaque	22	Pichincha				SPECIES									22 Jan 1993	Ecuador; Pichincha; ; Bosque Protectora Pasochoa			mountain tapir		1993	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	US	2014-04-02T16:48Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T20:53Z	2013-12-13T19:54Z
865748782																																																															PRESERVED_SPECIMEN			MHNG-MAM-1175.007	Mammalia	Mammals housed at MHNG, Geneva			CO						15	1.87936	-76.69865										1968-05-15T00:00Z				Tapiridae							Tapirus	Tapirus																									MHNG				Animalia								Valle de los Papas/Departamento del Cauca									5													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES															1968	5a659248-1f70-11e3-b2c5-00145eb45e9a	CH	2014-04-02T21:40Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE	2014-03-30T00:42Z	2014-03-19T17:04Z
785085344																										urn:occurrence:Arctos:DMNS:Mamm:6333:126064									en							http://arctos.database.museum/guid/DMNS:Mamm:6333				http://www.dmns.org/conditions-of-use								specimen									PRESERVED_SPECIMEN			6333	Mammalia	Mamm		NORTH_AMERICA	US	Cameron County				1976-05-25T00:00Z	25				sex: male						146		1976-05-25T00:00Z				Tapiridae							Tapirus	Tapirus			2012-07-08 00:00:00.0				unverified	unknown			Animalia Chordata Mammalia Perissodactyla Tapiridae  (Roulin, 1829)	North America, United States, Texas, Cameron County				A			ID of kin	S. L. Porter		http://arctos.database.museum/guid/DMNS:Mamm:6333			DMNS	urn:lsid:biocol.org:col:35013			Animalia								Brownsville, Gladys Porter Zoo	unknown								5							ICZN						Perissodactyla							Chordata		skeleton; study skin			Collector(s): S. L. Porter				Tapirus pinchaque (Roulin, 1829)		MALE	pinchaque		Texas				SPECIES									25 May 1976	North America, United States, Texas, Cameron County, Brownsville, Gladys Porter Zoo					1976	5f3463d2-51b6-4a8a-b252-9bab4388934e	US	2014-04-02T17:34Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T17:15Z	2014-03-18T13:59Z
656967373		http://www.nhm.org/site/about-our-museums/terms-of-use																								urn:catalog:LACM:Mammals:052179									en				2014-03-06T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			052179	Mammalia	Mammals	urn:lsid:biocol.org:col:34897	SOUTH_AMERICA	EC						1											NATIVE	1966-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Perissodactyla:Tapiridae:Tapirus	;Ecuador;;;;;;													LACM	urn:lsid:biocol.org:col:34802			Animalia								Pinchaque Prov.									1							ICZN				skeleton + photos	present	Perissodactyla							Chordata		skeleton		LAL-261	Lester, L A				Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES								11800 ft	SPR 1966	Ecuador; ; ; Pinchaque Prov.					1966	7a25f7aa-03fb-4322-aaeb-66719e1a9527	US	2014-04-02T12:50Z		3597.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T09:13Z	2014-03-07T09:48Z
476835138																										MCZ:Mamm:BOM-6037									en							http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:BOM-6037					President and Fellows of Harvard College							PhysicalObject				http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:BOM-6037					PRESERVED_SPECIMEN			BOM-6037	Mammalia	Mamm		SOUTH_AMERICA	EC						1			unknown									1700-01-01T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia Chordata Mammalia Perissodactyla Tapiridae Tapirus pinchaque	South America, Ecuador						Belongs to skin no. 5825.		[no agent data], [no agent data]					MCZ	b4640710-8e03-11d8-b956-b8a03c50a862			Animalia								Cordilleras									1							ICZN						Perissodactyla				Museum of Comparative Zoology, Harvard University			Chordata		skull (dry); skeleton (dry)			Edward Gerrard Jr				Tapirus pinchaque (Roulin, 1829)			pinchaque	0					SPECIES									[date unknown]						1700	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-04-02T07:05Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T07:26Z	2014-04-16T20:07Z
