gbifid	abstract	accessrights	accrualmethod	accrualperiodicity	accrualpolicy	alternative	audience	available	bibliographiccitation	conformsto	contributor	coverage	created	creator	date_	dateaccepted	datecopyrighted	datesubmitted	description	educationlevel	extent	format_	hasformat	haspart	hasversion	identifier	instructionalmethod	isformatof	ispartof	isreferencedby	isreplacedby	isrequiredby	isversionof	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsholder	source	spatial	subject	tableofcontents	temporal	title	type	valid	acceptednameusage	acceptednameusageid	associatedmedia	associatedoccurrences	associatedreferences	associatedsequences	associatedtaxa	basisofrecord	bed	behavior	catalognumber	class	collectioncode	collectionid	continent	countrycode	county	datageneralizations	datasetid	datasetname	dateidentified	day	decimallatitude	decimallongitude	disposition	dynamicproperties	earliestageorloweststage	earliesteonorlowesteonothem	earliestepochorlowestseries	earliesteraorlowesterathem	earliestperiodorlowestsystem	enddayofyear	establishmentmeans	eventdate	eventid	eventremarks	eventtime	family	fieldnotes	fieldnumber	footprintsrs	footprintspatialfit	footprintwkt	formation	genus	genericname	geodeticdatum	geologicalcontextid	georeferenceddate	georeferenceprotocol	georeferenceremarks	georeferencesources	georeferenceverificationstatus	georeferencedby	group_	habitat	higherclassification	highergeography	highergeographyid	highestbiostratigraphiczone	identificationid	identificationqualifier	identificationreferences	identificationremarks	identificationverificationstatus	identifiedby	individualcount	individualid	informationwithheld	infraspecificepithet	institutioncode	institutionid	island	islandgroup	kingdom	latestageorhigheststage	latesteonorhighesteonothem	latestepochorhighestseries	latesteraorhighesterathem	latestperiodorhighestsystem	lifestage	lithostratigraphicterms	locality	locationaccordingto	locationid	locationremarks	lowestbiostratigraphiczone	materialsampleid	maximumdistanceabovesurfaceinmeters	member	minimumdistanceabovesurfaceinmeters	month	municipality	nameaccordingto	nameaccordingtoid	namepublishedin	namepublishedinid	namepublishedinyear	nomenclaturalcode	nomenclaturalstatus	occurrencedetails	occurrenceid	occurrenceremarks	occurrencestatus	order_	originalnameusage	originalnameusageid	othercatalognumbers	ownerinstitutioncode	parentnameusage	parentnameusageid	phylum	pointradiusspatialfit	preparations	previousidentifications	recordnumber	recordedby	reproductivecondition	samplingeffort	samplingprotocol	scientificname	scientificnameid	sex	specificepithet	startdayofyear	stateprovince	subgenus	taxonconceptid	taxonid	taxonrank	taxonremarks	taxonomicstatus	typestatus	typifiedname	verbatimcoordinatesystem	verbatimcoordinates	verbatimdepth	verbatimelevation	verbatimeventdate	verbatimlocality	verbatimsrs	verbatimtaxonrank	vernacularname	waterbody	year	datasetkey	publishingcountry	lastinterpreted	coordinateaccuracy	elevation	elevationaccuracy	depth	depthaccuracy	distanceabovesurface	distanceabovesurfaceaccuracy	issue	hascoordinate	hasgeospatialissues	taxonkey	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	subgenuskey	specieskey	species	protocol	lastparsed	lastcrawled
780577603																										urn:occurrence:Arctos:MVZ:Mamm:124091:587128									en							http://arctos.database.museum/guid/MVZ:Mamm:124091												specimen									PRESERVED_SPECIMEN			124091	Mammalia	Mamm	urn:lsid:biocol.org:col:34904	SOUTH_AMERICA	CO					1999-01-27T00:00Z	10	2.26667	-76.01667		sex: female						344		1957-12-10T00:00Z				Tapiridae							Tapirus	Tapirus	World Geodetic System 1984		1999-07-29 00:00:00.0	not recorded		U.S. Board on Geographic Names, Colombia, 1965	unverified	Luis F. García			Animalia Chordata Mammalia Perissodactyla Tapiridae  (Roulin, 1829)	South America, Colombia, Departamento Huila				A			legacy	Museum of Vertebrate Zoology, University of California, Berkeley		http://arctos.database.museum/guid/MVZ:Mamm:124091			MVZ	urn:lsid:biocol.org:col:34777			Animalia								Rio San Jose, Moscopan	Luis F. García								12							ICZN						Perissodactyla			collector number=10087				Chordata		skull		10087	Collector(s): Alden H. Miller, F. C. Lehmann				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque		Departamento Huila				SPECIES					deg. min. sec.	2d 16m s N/76d 1m s W			10 Dec 1957	Rio San Jose, Moscopan					1957	0daed095-478a-4af6-abf5-18acb790fbb2	US	2014-04-02T17:56Z		2700.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T13:48Z	2013-12-13T21:15Z
865748777																																																															PRESERVED_SPECIMEN			MHNG-MAM-1175.006	Mammalia	Mammals housed at MHNG, Geneva			CO						15	1.87936	-76.69865										1969-03-15T00:00Z				Tapiridae							Tapirus	Tapirus																									MHNG				Animalia								Valle de los Papas/Departamento del Cauca									3													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES															1969	5a659248-1f70-11e3-b2c5-00145eb45e9a	CH	2014-04-02T21:40Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE	2014-03-30T00:42Z	2014-03-19T17:04Z
																																																															PRESERVED_SPECIMEN			11.Tap.1	Mammalia	Collection Générale																									Tapiridae							Tapirus	Tapirus																									BOUM				Animalia																														Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque		Andes				SPECIES															1872	8c6aacda-2fd5-48a6-9b27-c673163ce2dd	FR	2014-04-02T06:40Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE		2013-09-07T09:18Z
860787811																										6180																																					PRESERVED_SPECIMEN			IAvH-M-6180	Mammalia	IAvH-M		SOUTH_AMERICA	CO	Santa Rosa de Cabal																					Tapiridae							Tapirus	Tapirus										bosque montano alto (Bosque Andino)										Lizcano, Diego					IAvH	820000142-2			Animalia								Parque Regional Natural Ucumari, vda Cortaderal																						Perissodactyla							Chordata				1	Lizcano, Diego				Tapirus pinchaque (Roulin, 1829)			pinchaque		Risaralda				SPECIES																2a337d5a-a784-4f8a-a947-46d69e0fa3eb	CO	2014-04-02T20:15Z		3420.0									2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T22:07Z	2013-12-18T08:39Z
859531381																										urn:catalog:AMNH:Mammals:M-182073									en				2013-08-07T00:00Z															PhysicalObject									PRESERVED_SPECIMEN			M-182073	Mammalia	Mammals		SOUTH_AMERICA	EC	Quito					20										140	NATIVE	1959-05-20T00:00Z				Tapiridae							Tapirus	Tapirus											Animalia;Chordata;Mammalia;Perissodactyla;Tapiridae;Tapirus	South America;Ecuador;Pichincha;Quito;;;;													AMNH	urn:lsid:biocol.org:col:34925			Animalia																	5							ICZN					present	Perissodactyla							Chordata		Disarticulated, Not Mounted							Tapirus pinchaque (Roulin, 1829)			pinchaque	140	Pichincha				SPECIES									1959-05-20	South America; Ecuador; Pichincha; Quito; ; ; ; ; ; ;					1959	96ca66b4-f762-11e1-a439-00145eb45e9a	US	2014-04-02T20:19Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T19:05Z	2013-12-13T21:01Z
665883386		http://fieldmuseum.org/about/copyright-information																								2546277									English											http://fieldmuseum.org/about/copyright-information								PhysicalObject									PRESERVED_SPECIMEN			47051	Mammalia	Mammals	Mammals	SOUTH_AMERICA	EC			mammals-9-jul-2012	Mammals			-0.21667	-78.25														Tapiridae							Tapirus	Tapirus				published							Animalia Chordata Mammalia Perissodactyla Tapiridae	South America, Ecuador, Napo-Tungurahua: Cordillera de Los Llanganates, Tambo Jaramillo													FMNH	FMNH			Animalia								Cordillera de Los Llanganates, Tambo Jaramillo																ICZN						Perissodactyla				FMNH			Chordata		skull							Tapirus pinchaque (Roulin, 1829)			pinchaque		Napo-Tungurahua				SPECIES															1936	41fc5c40-5e81-496f-9733-6b5681b3b7a5	US	2014-04-02T14:18Z		3414.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T11:04Z	2013-12-22T15:37Z
865748810																																																															LIVING_SPECIMEN			MHNG-MAM-1144.024	Mammalia	Mammals housed at MHNG, Geneva									11												1968-08-11T00:00Z				Tapiridae							Tapirus	Tapirus																									MHNG				Animalia								captivité									8													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES															1968	5a659248-1f70-11e3-b2c5-00145eb45e9a	CH	2014-04-02T21:40Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE	2014-03-30T00:42Z	2014-03-19T17:04Z
780583675																										urn:occurrence:Arctos:MVZ:Mamm:124114:1698744									en							http://arctos.database.museum/guid/MVZ:Mamm:124114												specimen									PRESERVED_SPECIMEN			124114	Mammalia	Mamm	urn:lsid:biocol.org:col:34904	SOUTH_AMERICA	CO					1999-01-27T00:00Z	15	1.2	-77.11667		sex: male						349		1958-12-15T00:00Z				Tapiridae							Tapirus	Tapirus	World Geodetic System 1984		1999-07-29 00:00:00.0	not recorded		U.S. Board on Geographic Names, Colombia, 1965	unverified	Luis F. García			Animalia Chordata Mammalia Perissodactyla Tapiridae  (Roulin, 1829)	South America, Colombia, Departamento Narino				A			legacy	Museum of Vertebrate Zoology, University of California, Berkeley		http://arctos.database.museum/guid/MVZ:Mamm:124114			MVZ	urn:lsid:biocol.org:col:34777			Animalia								Paramo de Bordoncillo	Luis F. García								12							ICZN				SHOT BY INDIANS.		Perissodactyla							Chordata		skull			Collector(s): unknown, F. C. Lehmann				Tapirus pinchaque (Roulin, 1829)		MALE	pinchaque		Departamento Narino				SPECIES					deg. min. sec.	1d 12m s N/77d 7m s W			15 Dec 1958	Paramo de Bordoncillo					1958	0daed095-478a-4af6-abf5-18acb790fbb2	US	2014-04-02T17:57Z		3100.0	0.0								2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-29T13:49Z	2013-12-13T21:15Z
																																																															PRESERVED_SPECIMEN			91690	Mammalia	Collection Mammalia									25												1975-02-25T00:00Z				Tapiridae							Tapirus	Tapirus																									SMF				Animalia								Zoo Frankfurt am Main, Hessen, Deutschland									2													Perissodactyla							Chordata									Tapirus pinchaque (Roulin, 1829)			pinchaque						SPECIES															1975	9666593a-f762-11e1-a439-00145eb45e9a	DE	2014-04-02T06:12Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	BIOCASE		2013-09-07T09:19Z
884094535																										A11883.7422295																												PhysicalObject							Genbank:		PRESERVED_SPECIMEN			A11883.7422295	Mammalia	Mammals		SOUTH_AMERICA	CO																						Tapiridae							Tapirus	Tapirus											Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Perissodactyla, Tapiridae	South America, Colombia										A11883			USNM				Animalia																														Perissodactyla							Chordata		Skull; Skeleton			S. Hurlbut				Tapirus pinchaque (Roulin, 1829)		FEMALE	pinchaque						SPECIES									-- -- ----							5df38344-b821-49c2-8174-cf0f29f4df0d	US	2014-04-02T22:07Z											2440899	1	44	359	795	9416	2440895		2440899	Tapirus pinchaque	DWC_ARCHIVE	2014-03-30T01:59Z	2014-03-15T23:18Z
